,Unnamed: 0,question,distractor3,distractor1,distractor2,correct_answer,support,baseline_answer,question_context,previous_questions_context,baseline_answer_A,question_context_A,previous_questions_context_A
978,978,What reflex is commonly tested in newborn infants to establish the presence of neuromuscular function?,glandular,phalanges,renal,plantar,"Approximate colors are shown, along with pKin values and the pH range over which the color changes. It is important to be aware that an indicator does not change color abruptly at a particular pH value; instead, it actually undergoes a pH titration just like any other acid or base. As the concentration of HIn decreases and the concentration of In− increases, the color of the solution slowly changes from the characteristic color of HIn to that of In−. As we will see in Section 16.6 ""Buffers"", the [In−]/[HIn] ratio changes from 0.1 at a pH one unit below pKin to 10 at a pH one unit above pKin. Thus most indicators change color over a pH range of about two pH units. We have stated that a good indicator should have a pKin value that is close to the expected pH at the equivalence point. For a strong acid–strong base titration, the choice of the indicator is not especially critical due to the very large change in pH that occurs around the equivalence point. In contrast, using the Saylor URL: http://www. saylor. org/books.",C,D,B,A,A,A
1027,1027,The largest absorption of heat comes during the vaporization of what?,magma,ice,carbon dioxide,liquid water,The total heat absorbed as the ice at -30°C is heated to steam at 140°C is 113.4 kJ. The largest absorption of heat comes during the vaporization of the liquid water.,C,D,C,A,A,A
1070,1070,What part of the plant has a root end and a shoot end?,pistol,radius,leaves,axis,,A,A,B,A,A,A
1173,1173,What is the opposite of nuclear fusion?,might fission,Solar Power,energy fission,nuclear fission,"Nuclear fusion is the opposite of nuclear fission. In fusion, two or more small nuclei combine to form a single, larger nucleus. An example is shown in Figure below . In this example, two hydrogen nuclei fuse to form a helium nucleus. A neutron and a great deal of energy are also released. In fact, fusion releases even more energy than fission does.",A,A,T,A,A,A
1234,1234,"Water molecules are polar, so they form what type of bonds?",helium,carbon,oxygen,hydrogen,"Water molecules are polar, so they form hydrogen bonds. This gives water unique properties, such as a relatively high boiling point, high specific heat, cohesion, adhesion and density.",A,D,A,A,A,A
1249,1249,Metabolism is an emergent property of life that arises from orderly interactions between what?,nutrients,tissues,body systems,molecules,,A,A,D,A,A,A
1316,1316,What makes the realized niche of chthamalus much smaller than its fundamental niche?,microscopic competition,instantaneous competition,asexual competition,interspecific competition,,A,A,D,A,A,A
1359,1359,What organism is the most disruptive towards the diversity of other species?,insects,bacteria,reptiles,humans,,A,A,D,A,A,A
1369,1369,"In the lungs, oxygen diffuses out of the alveoli and into where?",cillia,blood,neurons,capillaries,"In the lungs, oxygen diffuses out of the alveoli and into the capillaries surrounding the alveoli. Oxygen (about 98 percent) binds reversibly to the respiratory pigment hemoglobin found in red blood cells (RBCs). RBCs carry oxygen to the tissues where oxygen dissociates from the hemoglobin and diffuses into the cells of the tissues. More specifically, alveolar P O 2.",C,D,C,C,A,A
1461,1461,What are the three main types of rocks?,"crystalline , igneous and metamorphic","limestone , igneous and metamorphic","plutonic, igneous and metmorphic","sedimentary, igneous and metamorphic","A geologic map shows the different rocks that are exposed at the surface of a region. Rock units are shown in a color identified in a key. On the geologic map of the Grand Canyon, for example, different rock types are shown in different colors. Some people call the Grand Canyon “layer cake geology“ because most of the rock units are in layers. Rock units show up on both sides of a stream valley.",A,D,A,A,A,A
1542,1542,With what does cytokinins act in concert to stimulate cell division and influence the pathway of differentiation?,ribosomes,dna,hormone,auxin,,A,A,D,A,A,A
1578,1578,"What is the term for the most abundant species in a community, characterized by high competitive abilities?",carnivores,keystone species,merging species,dominant species,,D,D,C,A,A,A
1624,1624,Which part of the axon has a higher membrane potential?,canals hillock,muscular hillock,biofilm hillock,axon hillock,,A,A,D,A,A,A
1628,1628,What do aquatic mollusk species use for respiration?,pores,lungs,phototropism,gills,"Which of the following statements about the anatomy of a mollusk is false? a. Mollusks have a radula for grinding food. A digestive gland is connected to the stomach. The tissue beneath the shell is called the mantle. The digestive system includes a gizzard, a stomach, a digestive gland, and the intestine. Mollusks have a muscular foot, which is used for locomotion and anchorage, and varies in shape and function, depending on the type of mollusk under study. In shelled mollusks, this foot is usually the same size as the opening of the shell. The foot is a retractable as well as an extendable organ. The foot is the ventral-most organ, whereas the mantle is the limiting dorsal organ. Mollusks are eucoelomate, but the coelomic cavity is restricted to a cavity around the heart in adult animals. The mantle cavity develops independently of the coelomic cavity. The visceral mass is present above the foot, in the visceral hump. This includes digestive, nervous, excretory, reproductive, and respiratory systems. Mollusk species that are exclusively aquatic have gills for respiration, whereas some terrestrial species have lungs for respiration. Additionally, a tongue-like organ called a radula, which bears chitinous tooth-like.",D,D,C,A,A,A
1634,1634,Blood enters the heart in what valve?,mitral,tricuspid,aortic,atria,"Blood flows in only one direction in the heart. Blood enters the atria, which contract and push blood into the ventricles. The atria relax and the ventricles fill with blood. Finally, the ventricles contract and push blood around the body.",A,D,A,D,D,D
